,vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
0,c5215826-6237-4a33-9312-72c1df909881,2023-01-25 09:10:54,54.88135039273247,78.95086101800565,164.77597272736512,287.8089860943348,7527.0,69.34557502116084,0.5535890138304125,network,medium,waiting
1,29690bc6-1f34-403b-b509-a1ecb1834fb8,2023-01-26 04:46:34,71.51893663724195,29.901882588683115,,362.27356881966176,5348.0,41.39603965431024,0.3498562124073033,io,high,completed
2,2e55abc3-5bad-46cb-b445-a577f5e9bf2a,2023-01-13 23:39:47,,92.70919512014969,203.6748471150189,231.4679027444394,5483.0,24.60254888470785,0.79627697356617,io,medium,completed
3,e672e32f-c134-4fbc-992b-34eb63bef6bf,2023-02-09 11:45:49,54.48831829968969,88.10095962792755,,195.63995376557352,5876.0,16.456669858380668,0.5295107822540652,compute,high,completed
4,f38b8b50-6926-4533-be4f-89ad11624071,2023-06-14 08:27:26,42.36547993389047,,,359.45153695723053,3361.0,55.30799161503772,0.3519072635198071,,medium,waiting
5,ad14d5d1-4e96-48ca-9893-1baaa47e4cab,2023-02-06 16:44:41,64.58941130666561,62.00801572713125,580.5698364890883,115.93161048505227,4766.0,63.13767143999519,,io,low,completed
6,5651505d-14a2-41d6-989b-eec0aac9b922,2023-06-15 18:04:04,43.75872112626925,22.456429249411503,429.1396396095887,272.9604167203784,9008.0,60.15390381796911,0.4612463882323769,compute,high,completed
7,e5970e5c-0350-4131-bd6c-4bd7e2c98df1,,,85.43815471675246,685.2828127526033,,,14.191355528380544,0.2425384275256116,network,high,running
8,7fc95f4c-f561-4dd5-8465-aec2b388bd5b,2023-05-20 19:09:26,96.36627605010293,4.388441255096842,902.827716859084,367.97905592877584,9984.0,21.87669373238963,,io,medium,running
9,7fd9a664-1da8-4ae9-8a04-3c341d32d35c,2023-07-10 11:32:51,38.34415188257777,16.44188143630516,779.7913445722813,382.7566963342774,2989.0,42.16084672041248,0.1391872331187899,io,medium,running
10,ea8455b0-251c-4470-b7ea-8d40476e3434,2023-01-14 19:59:41,79.17250380826646,2.972252291872135,926.374029707024,173.5593253511245,8644.0,55.70267258499558,0.7794988270273124,compute,medium,completed
11,eb9c26c6-d99f-40a4-8640-7631ad451034,,,20.0765780897026,941.0693853534948,435.0137737235639,5185.0,66.37989277787378,0.7001446638053798,,medium,completed
12,0ddae1eb-86c9-4448-b1b8-e7be96875ad8,2023-04-11 22:45:15,56.80445610939323,2.3556261694841374,722.5521460087667,143.34039922287724,9788.0,79.70075630651479,0.9443874747330262,io,medium,waiting
13,196e5fec-ae85-4b5c-a2ca-7f34cdfd00b6,2023-04-20 06:07:18,92.5596638292661,,34.37853909632338,433.9588479632569,886.0,54.13118610596944,0.2046442657121256,network,,waiting
14,bb9d0b5b-c787-4138-ac46-4e250c802e75,2023-04-22 16:00:56,7.103605819788694,96.51663851759275,919.1721699008262,275.62991155530773,9117.0,39.96762536398085,0.8547249472467794,io,low,running
15,194210b1-4e68-4019-a292-5d07111e7354,2023-03-07 01:40:48,,44.40411245087644,664.6856504653719,245.00424717039888,7358.0,86.68051051966744,0.8605806758541958,io,medium,waiting
16,3b85d1e1-4734-4d95-a96c-3c81584efae2,2023-02-07 19:00:38,2.021839744032572,89.3369023596935,208.41927362008096,199.2585075596433,1224.0,61.8501351320329,0.6974451918092537,compute,high,completed
17,,2023-06-28 06:55:25,83.2619845547938,41.71619076688634,493.1490074859254,103.74190696397584,3187.0,5.677628555426817,,compute,high,
18,00a10e10-fe7d-4d97-a6b2-06c051763611,2023-04-12 05:05:59,77.81567509498505,,887.4445038676911,,2010.0,32.82460714327495,0.5782905132178405,io,low,
19,fd28310b-be6f-4320-a664-de02274993d9,2023-01-18 11:22:21,87.00121482468191,46.62017593384079,437.1881150560703,77.05470159180177,9427.0,,0.2071643454371206,,low,waiting
20,f65e1c9b-2b40-4f50-a80c-4ce40d60ce70,2023-06-18 16:06:24,97.8618342232764,70.71200062883366,,264.7233293358356,3345.0,89.00994247818885,0.4823674811563622,io,low,waiting
21,5da32ae8-bd9c-4e95-840a-35498ef2d567,2023-02-07 17:21:05,79.91585642167236,76.10323678630996,,361.6567231045878,9825.0,52.187029388312176,0.5208305335712439,,medium,running
22,8ca4165d-f6c3-44e7-9045-b28e6534a114,2023-02-01 07:27:02,46.14793622529319,,88.57367901959967,348.3596743540972,1912.0,58.101865071782434,0.4238487098182186,io,low,running
23,74d08dd7-5b8c-4111-a6e3-d1566434c4af,2023-05-13 18:43:40,78.05291762864555,75.08693239568018,387.4492839507717,288.46580480118746,9174.0,50.007291675789226,,compute,low,waiting
24,ee09578f-c27d-4e85-b3ee-323a0d7a0eff,2023-07-19 04:48:30,11.827442586893325,17.494685098281227,433.6812055048176,214.91209620375568,1147.0,12.59030732694486,0.1077575090170537,compute,medium,running
25,d95eef15-c3a1-4120-b660-2c3bbbc5765e,2023-02-25 05:22:44,63.99210213275238,87.71007666370555,940.2623028174826,,6643.0,,0.1663319878019201,compute,low,running
26,b07941d5-3eb8-42dc-a03b-4fb81dbcb4c0,2023-07-09 22:40:00,14.33532874090464,4.481789360811872,296.77212112067485,386.12895397196496,,5.859939366575273,0.6334186821189375,network,high,completed
27,,2023-06-12 06:58:53,94.4668917049584,20.30882053643842,,481.3587077657895,8688.0,,0.7238511322125999,,high,waiting
28,40f62f6f-14c3-425b-8503-241e4f4ed0a7,2023-02-07 11:24:24,52.184832175007166,19.44747041166177,261.1567625008532,174.78350675743548,3686.0,,0.4542999151229987,,low,completed
29,ce27f2d1-6a11-4ed8-890f-6db13637840a,2023-05-14 00:42:05,41.46619399905236,74.77060134344565,757.368681181976,96.01126690792134,1183.0,77.19094327115523,0.4242991566617204,compute,medium,completed
30,decfa72d-f359-4731-8b45-8db3f2c4ea24,2023-06-02 16:21:22,26.455561210462697,64.20849448305248,854.9338343697548,,7875.0,72.44787758708914,0.1503653775745929,,,running
31,,2023-06-30 09:15:11,77.42336894342166,29.394859982313204,,355.5610576874761,1968.0,88.55497119351637,0.4695748463794009,io,high,running
32,a9d7b49c-6398-43d3-a5b5-160d28dde606,2023-04-16 21:57:10,45.615033221654855,79.50720126865315,335.80073364390495,132.91197797823023,925.0,,0.7548654187654366,network,low,completed
33,2abdee1d-e1bd-4c5f-b1cd-19d80c964336,2023-06-11 07:40:40,56.84339488686485,5.346181034112984,210.22450631814596,351.9970204416069,,1.391701056838568,0.2054159319058793,compute,low,waiting
34,204295cf-acff-40a7-8243-b91d6e94c4f7,2023-07-02 21:46:38,1.8789800436355144,2.3962526992481026,781.4629518475026,173.57559992409472,23.0,69.93225189374634,0.8284685589515074,io,high,
35,ff42db1e-e00e-4885-a40f-7fa35e60b978,2023-03-14 22:02:32,61.76354970758771,0.0230147431370619,,312.676193279692,1726.0,,0.999609230817374,compute,low,running
36,5dc06d9c-ba69-4c7c-a8cd-a967a7f8fad5,2023-02-03 20:57:50,61.20957227224214,1.0618334705024934,695.778957418883,397.5592253520021,781.0,12.347001616853149,0.8490742908666534,,medium,
37,d8556493-5092-46ea-9477-fb7a722b215e,2023-01-15 06:40:57,61.69339968747569,0.66501864895252,686.3747057583021,154.89117158455113,6006.0,99.54205859933634,0.9922910928783232,compute,medium,completed
38,27267259-e40f-4e64-9e6e-d2563c5f198d,2023-02-12 20:43:39,94.37480785146242,64.72232673163482,662.4293353297892,,7136.0,45.73563785787529,0.5001750804182545,io,high,running
39,,2023-05-31 21:01:06,68.18202991034835,1.7635783074847478,710.7411196491142,,7724.0,81.36740178198147,0.7131047192034228,compute,low,running
40,e4261896-dec0-47c3-8920-98a92656daa5,2023-07-17 04:41:10,35.9507900573786,72.9809813207389,350.5145898406132,132.659623501686,430.0,76.32524441989813,0.0038913973038791,network,high,waiting
41,6f8b5688-ac95-4369-b552-6938fe3c2baa,2023-01-24 15:43:32,43.703195379934144,28.118219607113414,,448.0205267496693,4628.0,81.33689787318724,0.5409771746400925,io,,running
42,3d2ba611-df79-40b3-bc20-63a3796de7fd,2023-05-09 05:47:05,69.76311959272648,96.0885192820304,602.3477887344607,161.7054658145934,6670.0,27.56714294350636,0.2496040821866509,network,,running
43,3a233eb2-f875-4805-a41e-6a512c52a180,2023-07-11 23:55:37,6.022547162926983,33.03585426314992,719.7953588353676,434.588930652972,4976.0,28.9907803695591,0.7910675206636963,io,high,waiting
44,80b073e5-914b-4e56-a285-1b68625fcf2a,2023-03-21 05:25:26,,,182.9522552727445,333.5572971283889,5413.0,74.54670767140506,,io,low,completed
45,aaa03097-d35c-44cc-af28-08ac4a8ac005,2023-01-15 21:12:03,67.06378696181594,56.20080455465612,856.3729241009559,300.8163384974408,3925.0,1.6250460356521337,0.9793560851549046,io,high,running
46,b4ec0e1a-40a5-4386-a503-d9ff61a4437d,2023-04-15 02:16:08,21.03825610738409,5.634185469953956,,485.492341005841,8689.0,18.796407041709703,0.8736788169273056,compute,medium,running
47,6b6d4ad7-615b-4aeb-be4e-002fb053850e,2023-01-21 13:38:56,12.892629765485331,,906.8080461256228,330.20784236352773,6940.0,14.17243120013919,0.1231554714899848,io,low,completed
48,79c822ff-ec1a-4001-9cc5-08e58737aa26,2023-03-17 07:05:08,31.542835092418382,39.301736902295744,,432.0855381077557,5137.0,48.03763517383759,0.2161976759750027,compute,low,running
49,72409b20-fe74-418b-b8d2-a473df503c62,2023-05-09 14:21:32,36.37107709426226,21.95574392509313,765.1085404576537,300.068718360881,6822.0,44.70843079769558,0.6900778446483329,compute,high,completed
50,33beaac9-d548-4152-bd0e-2603655424f9,2023-04-21 19:33:38,57.019677041787965,57.29314801898303,671.6706721743607,499.40105215672753,3089.0,67.01478558431731,0.2558825959740562,network,medium,running
51,a0d91a20-21a7-484a-9516-b72c71061fe0,2023-02-23 23:54:46,43.86015134623204,16.927814875683755,469.175920223112,224.5788339035087,8115.0,28.181830043637103,0.1076673076083811,compute,low,running
52,8af1cedc-5a93-43eb-926a-a32c9855268c,2023-04-18 15:50:33,98.8373838059226,26.88207718073946,,239.7016582675584,3789.0,45.59599186023364,,network,low,
53,,2023-02-14 07:41:41,,80.26420137186062,622.7004117461089,37.71408509361351,2802.0,26.54276349143515,0.7626559298020015,network,high,running
54,022cd9e9-cd46-461c-a659-a8a0043a586e,2023-06-14 15:49:59,20.88767560948347,6.743206459507878,699.7006841709139,105.09158280375236,1385.0,,,,,running
55,12c872cb-3959-4f4b-89b5-d1d421c8769a,2023-06-10 08:18:46,16.130951788499626,45.56361931784413,,398.95253323614367,1958.0,64.44928180551022,0.5257715257881682,compute,high,waiting
56,127b1d54-60ef-490c-814c-b2996b3cc235,2023-06-16 17:04:12,65.31083254653984,0.8829988290228408,912.6273755291436,53.08781449853617,9725.0,57.77399506439185,,,,running
57,cc43e4a9-7a71-4497-a645-ae8a4b45be7a,2023-04-19 18:59:33,25.329160253978213,87.80929317950043,,21.520280280929335,8986.0,65.74928740103579,0.7330729125521166,network,high,completed
58,4803eac8-d8d9-4f69-a2ca-b689588e1df2,2023-02-27 01:47:59,46.63107728563063,20.35419454963524,779.8892927134023,337.05337499732866,8316.0,,0.0800513256776108,io,medium,running
59,,2023-03-04 11:48:14,24.442559200160275,87.33239527496671,799.2357666846815,243.40050776533403,2092.0,,0.6231283769792736,network,high,waiting
60,86edc6a9-d216-4d74-97f5-1a065979aa72,2023-03-01 14:49:26,15.896958364551972,93.5362022815759,964.3164949155248,,3584.0,6.168850994891606,0.1168475191160165,compute,medium,completed
61,a010826e-6ad5-4008-9d79-379f813e60e1,2023-04-07 05:58:57,11.037514116430511,9.40685879833868,817.4972472787616,202.26210749746983,9769.0,,0.2505794615885041,network,medium,completed
62,f264b71d-eda2-4d59-a28b-405572e84ddd,2023-04-01 11:05:34,,98.50453162161752,,11.432583307738554,,18.348998416382106,,network,high,completed
63,79412622-4f87-4c39-96a9-5d2f8e52ebaf,,13.81829513486138,1.9647135970066727,107.48032406801632,172.93611595656972,2269.0,4.474412271521244,0.6017296988267746,io,low,waiting
64,99b8881f-eb7a-4e0a-87fe-51c1f33bddb0,2023-04-02 16:31:04,19.65823616800535,41.56335189777671,412.81851450848575,200.4533215877012,6196.0,77.5007069996999,0.8760017738370616,network,medium,running
65,a0302f08-617d-43ba-a20d-a4cc16eca88d,2023-02-18 11:00:17,36.872517066096414,40.4366203429215,681.3583777353608,223.48108295482385,8307.0,73.13474955525099,0.1706832930469316,compute,high,running
66,39747b5f-4245-402a-a414-130c7c6e699c,2023-02-17 21:54:31,82.09932298479352,25.563384863559968,118.02428222368088,240.68793676193928,4086.0,79.98972351981513,0.7320202785541456,network,high,waiting
67,16c8c2e3-4867-4a20-90d4-380a8838bb3f,2023-05-06 08:26:21,9.710127579306128,76.54117679309724,381.0367476655883,331.51848878000794,4547.0,77.58898704331592,0.2125218377245552,network,,running
68,1419b321-a100-46de-a38d-0a7a14e510e2,2023-01-19 04:41:44,83.7944907498804,18.781377319853064,347.6943152399777,395.09068713430486,,29.873152202381327,0.3615223217766213,network,low,
69,e498a339-3f0f-4e72-b979-69dc40010f20,2023-01-01 11:30:42,9.609840789396308,5.842703528279336,195.36692197087257,153.25705800252314,2617.0,99.87627160531396,0.4589815141453529,network,low,waiting
70,72eda607-6484-4441-a3f8-354717010bea,,97.64594650133958,26.068600232428828,549.0508759995888,22.16881113114028,,87.96546898010259,0.1312826954382384,io,high,running
71,1d3648b9-98c4-4280-97e8-4b3882b9e8db,2023-01-29 03:34:11,46.86512016477016,,257.221782096353,28.80159390849818,8737.0,3.849593536427853,0.6173566555152963,compute,medium,completed
72,6515f29e-3770-439e-ad51-c898a2ee4c91,2023-01-08 14:29:49,97.67610881903371,,334.30557383824987,105.05396086722308,912.0,,0.440746338671881,io,low,
73,bbe26b9c-c5c0-4faa-841c-a693296aed4c,2023-03-11 16:39:31,60.4845519745046,71.71940865884743,226.88883523309775,438.5798815223782,5034.0,9.508691469691655,0.2862026429882154,io,high,completed
74,bb8b7e8e-526a-49c1-af03-6a835af2b954,2023-04-26 14:46:08,73.92635793983017,,338.63828516067287,205.6580290336844,110.0,13.466921816358225,0.1476492903159147,compute,,running
75,,2023-01-14 09:39:27,3.918779225432068,46.18171975408277,664.6155648064822,,5294.0,72.13179379948225,0.0924040410092349,io,low,running
76,f8c40a51-3d53-4e27-94c5-f20681892369,2023-01-11 02:02:48,28.28069625764096,22.566771293245736,29.166957388040093,394.801524090792,5677.0,15.92283384852361,0.9801122104408608,,medium,waiting
77,cb52511d-5260-49d5-a3b9-6635e5920ab6,2023-06-27 13:17:43,12.01965612131689,24.367701039194976,728.8975809366193,,4083.0,,0.7146504622660335,network,high,running
